傀	[亻鬼,guī_kuǐ_kuài,GB0]
傅	[亻甫寸,fù_fū,GB0]
傈	[亻西木,lì,GB0]
傍	[亻亠丷方,bàng_páng_bēng_péng,GB0]
傣	[亻𡗗水,dǎi,GB0]
傥	[亻尚儿,tǎng,GB0]
傧	[亻宀斤八,bīn,GB0]
储	[亻讠耂日,chǔ,GB0]
傩	[亻又隹,nuó,GB0]
催	[亻山隹,cuī,GB0]
傲	[亻龶勹夊,ào_áo,GB0]
傺	[亻{祭上}示,chì,GB0]
傻	[亻{囟框}乂夊,shǎ,GB0]
像	[亻冖口豕,xiàng,GB0]
僖	[亻壴口,xī,GB0]
僚	[亻大丷小,liáo_liǎo_lǎo,GB0]
僦	[亻{京頭}小尤,jiù,GB0]
僧	[亻丷日日,sēng_céng,GB0]
僬	[亻隹灬,jiāo_jiào_jiǎo,GB0]
僭	[亻匚儿日,jiàn_zèn,GB0]
僮	[亻立里,tóng_zhuàng_chòng,GB0]
僳	[亻西米,sù,GB0]
僵	[亻一田一,jiāng,GB0]
僻	[亻尸口辛,pì,GB0]
儆	[亻艹勹夊,jǐng,GB0]
儇	[亻罒一𧘇,xuān_xuán,GB0]
儋	[亻冖厂言,dān_dàn_shàn,GB0]
儒	[亻雨而,rú,GB0]
儡	[亻田田田,lěi_léi_lèi,GB0]
儿	[儿,ér_er_rén,GB0]
兀	[兀,wù_wū,GB0]
允	[厶儿,yǔn_yuán,GB0]
元	[一兀,yuán,GB0]
兄	[口儿,xiōng_kuàng,GB0]
充	[亠厶儿,chōng,GB0]
兆	[儿二二,zhào,GB0]
先	[⺧儿,xiān,GB0]
光	[小兀,guāng_guàng,GB0]
克	[古儿,kè,GB0]
免	[冖口儿,miǎn_wèn_wǎn,GB0]
兑	[丷口儿,duì_ruì_duó,GB0]
兔	[冖口儿丶,tù_tú_chān,GB0]
兕	[{雋下}兀,sì,GB0]
兖	[亠八厶儿,yǎn,GB0]
党	[尚儿,dǎng,GB0]
兜	[白{卬左}コ儿,dōu,GB0]
兢	[古儿古儿,jīng,GB0]
入	[入,rù,GB0]
全	[人王,quán,GB0]
八	[八,bā_bá,GB0]
公	[八厶,gōng,GB0]
六	[亠八,liù_lù,GB0]
兮	[八丂,xī,GB0]
兰	[䒑二,lán,GB0]
共	[龷八,gòng_gōng_gǒng_hóng,GB0]
关	[䒑大,guān,GB0]
兴	[{兴上}八,xīng_xìng,GB0]
兵	[斤一八,bīng,GB0]
其	[其,qí_jī_jì,GB0]
具	[且八,jù,GB0]
典	[冂龷八,diǎn_tiǎn,GB0]
兹	[䒑幺幺,zī_cí,GB0]
养	[䒑夫{介下},yǎng,GB0]
兼	[䒑彐〢八,jiān,GB0]
兽	[丷田一口,shòu,GB0]
冀	[丬匕田八,jì,GB0]
冁	[丷日十{畏下},chǎn,GB0]
冂	[冂,jiōng_jiǒng,GB0]
内	[冂人,nèi_nà_ruì,GB0]
冈	[冂乂,gāng,GB0]
冉	[冂土,rǎn_nán_dān,GB0]
册	[⺆⺆一,cè_zhà,GB0]
再	[王冂,zài,GB0]
冒	[冂二目,mào_mò,GB0]
冕	[冂二冖儿,miǎn,GB0]
冖	[冖,mì,GB0]
冗	[冖几,rǒng,GB0]
写	[冖丂一,xiě_xiè,GB0]
军	[冖车,jūn,GB0]
农	[冖𧘇,nóng,GB0]
冠	[冖一兀寸,guān_guàn,GB0]
冢	[冖豕丶,zhǒng,GB0]
冤	[冖冖口丶,yuān,GB0]
冥	[冖日亠八,míng_mián_miàn,GB0]
冫	[二,bīng,GB0]
冬	[夊⺀,dōng,GB0]
冯	[二马,féng_píng,GB0]
冰	[二水,bīng_níng,GB0]
冱	[二一彑,hù,GB0]
冲	[二口丨,chōng_chòng,GB0]
决	[二コ人,jué,GB0]
况	[二口儿,kuàng,GB0]
冶	[二厶口,yě,GB0]
冷	[二人丶マ,lěng_líng_lǐng,GB0]
冻	[二七小,dòng,GB0]
冼	[二⺧儿,xiǎn_shěng,GB0]
冽	[二一夕刂,liè,GB0]
净	[二冖彐亅,jìng_chēng,GB0]
凄	[二十彐女,qī,GB0]
准	[二隹,zhǔn,GB0]
凇	[二木八厶,sōng,GB0]
凉	[二{京頭}小,liáng_liàng,GB0]
凋	[二⺆土口,diāo,GB0]
凌	[二土八夊,líng_lìng,GB0]
减	[二戊一口,jiǎn,GB0]
凑	[二𡗗一大,còu,GB0]
凛	[二亠囗示,lǐn,GB0]
凝	[二匕矢龰,níng,GB0]
几	[几,jǐ_jī,GB0]
凡	[几丶,fán,GB0]
凤	[几又,fèng,GB0]
凫	[{鸟上}几,fú,GB0]
凭	[亻壬几,píng,GB0]
凯	[山己几,kǎi,GB0]
凰	[几白王,huáng,GB0]
凳	[癶一口几,dèng,GB0]
凵	[凵,qiǎn_kǎn,GB0]
凶	[乂凵,xiōng,GB0]
凸	[丨一丨一,tū,GB0]
凹	[{雋下}一,āo_wā,GB0]
出	[屮凵,chū,GB0]
击	[キ凵,jī,GB0]
凼	[水凵,dàng,GB0]
函	[乛水凵,hán,GB0]
凿	[业䒑十凵,záo_zuò,GB0]
刀	[刀,dāo_diāo,GB0]
刁	[乛一,diāo,GB0]
刂	[刂,dāo,GB0]
刃	[刀丶,rèn,GB0]
分	[八刀,fēn_fèn_fén,GB0]
切	[七刀,qiè_qiē_qì,GB0]
刈	[乂刂,yì,GB0]
刊	[干刂,kān,GB0]
刍	[冖彐,chú,GB0]
刎	[勹{两撇}刂,wěn,GB0]
刑	[一卄刂,xíng,GB0]
划	[戈刂,huà_huá_guò_guǒ_huai,GB0]
刖	[月刂,yuè,GB0]
列	[一夕刂,liè_lì,GB0]
刘	[文刂,liú,GB0]
则	[贝刂,zé,GB0]
刚	[冂乂刂,gāng,GB0]
创	[人㔾刂,chuàng_chuāng,GB0]
初	[衤刀,chū,GB0]
删	[⺆⺆一刂,shān,GB0]
判	[丷キ刂,pàn,GB0]
刨	[勹巳刂,páo_bào,GB0]
利	[禾刂,lì,GB0]
别	[口力刂,bié_biè,GB0]
刭	[ス工刂,jǐng,GB0]
刮	[舌刂,guā,GB0]
到	[至刂,dào,GB0]
刳	[大一丂刂,kū_kōu,GB0]
制	[牛冂刂,zhì,GB0]
刷	[尸巾刂,shuā_shuà,GB0]
券	[丷夫刀,quàn_xuàn,GB0]
刹	[乂木刂,shā_chà,GB0]
刺	[木冂刂,cì_cī_qì,GB0]
刻	[亥刂,kè_kēi,GB0]
刽	[人二厶刂,guì,GB0]
刿	[山夕刂,guì,GB0]
剀	[山己刂,kǎi,GB0]
剁	[几木刂,duò,GB0]
剂	[文{介下}刂,jì,GB0]
剃	[丷弓丨刂,tì,GB0]
削	[小月刂,xuē_xiāo_qiào_shào,GB0]
剌	[木口刂,lá_là,GB0]
前	[䒑月刂,qián_jiǎn,GB0]
剐	[口冂人刂,guǎ,GB0]
剑	[人一{兴上}刂,jiàn,GB0]
剔	[日勹{两撇}刂,tī_tì,GB0]
剖	[立口刂,pōu_pǒ,GB0]
剜	[宀夕㔾刂,wān,GB0]
剞	[大丁口刂,jī,GB0]
剡	[火火刂,shàn_yǎn,GB0]
剥	[彐水刂,bō_bāo_pū,GB0]
剧	[尸古刂,jù,GB0]
剩	[禾丬匕刂,shèng,GB0]
剪	[䒑月刂刀,jiǎn,GB0]
副	[一口田刂,fù_pì,GB0]
割	[宀丰口刂,gē,GB0]
剽	[西示刂,piāo_piào_piáo_biǎo_biāo,GB0]
剿	[巛日木刂,jiǎo_chāo,GB0]
劁	[隹灬刂,qiāo_qiáo,GB0]
劂	[厂䒑屮刂,jué,GB0]
劈	[尸口辛刀,pī_pǐ,GB0]
劐	[艹隹又刂,huō_huò_huá,GB0]
劓	[自田丌刂,yì,GB0]
力	[力,lì,GB0]
劝	[又力,quàn,GB0]
办	[力八,bàn,GB0]
功	[工力,gōng,GB0]
加	[力口,jiā,GB0]
务	[夊力,wù,GB0]
劢	[一勹力,mài,GB0]
劣	[小丿力,liè,GB0]
动	[二厶力,dòng,GB0]
助	[且力,zhù_chú,GB0]
努	[女又力,nǔ,GB0]
劫	[土厶力,jié,GB0]
劬	[勹口力,qú,GB0]
劭	[刀口力,shào,GB0]
励	[厂一勹力,lì,GB0]
劲	[ス工力,jìn_jìng,GB0]
劳	[艹冖力,láo,GB0]
劾	[亥力,hé_kài,GB0]
势	[扌九丶力,shì,GB0]
勃	[十冖子力,bó,GB0]
勇	[マ用力,yǒng,GB0]
勉	[冖口儿力,miǎn,GB0]
勋	[口贝力,xūn,GB0]
勐	[子皿力,měng,GB0]
勒	[革力,lēi_lè_lei,GB0]
勖	[冂二目力,xù_mào,GB0]
勘	[其乚力,kān,GB0]
募	[艹日大力,mù_bó,GB0]
勤	[革二力,qín_qí,GB0]
勰	[力力力心,xié,GB0]
勹	[勹,bāo,GB0]
勺	[勹丶,sháo_shuò_zhuó_dì,GB0]
勾	[勹厶,gōu_gòu,GB0]
勿	[勹{两撇},wù_mò,GB0]
匀	[勹二,yún_jūn_yùn,GB0]
包	[勹巳,bāo_páo_fú,GB0]
匆	[勹{两撇}丶,cōng,GB0]
匈	[勹乂凵,xiōng,GB0]
匍	[勹甫,pú,GB0]
匏	[大一丂巳,páo,GB0]
匐	[勹一口田,fú,GB0]
匕	[匕,bǐ_pìn,GB0]
化	[亻匕,huà_huā_huò,GB0]
北	[丬匕,běi_bèi,GB0]
匙	[日一龰匕,shi_chí,GB0]
匚	[匚,fāng_fàng,GB0]
匝	[匚巾,zā,GB0]
匠	[匚斤,jiàng,GB0]
匡	[匚王,kuāng_wāng,GB0]
匣	[匚甲,xiá,GB0]
匦	[匚车九,guǐ,GB0]
匪	[匚非,fěi_fēi_fēn,GB0]
匮	[匚口丄贝,kuì_guì,GB0]
匹	[兀乚,pǐ,GB0]
区	[匚乂,qū_ōu,GB0]
医	[匚矢,yī_yì,GB0]
匾	[匚户冊,biǎn,GB0]
匿	[匚艹{左上}口,nì_tè,GB0]
十	[十,shí,GB0]
千	[千,qiān,GB0]
卅	[卅,sà,GB0]
升	[丿卄,shēng,GB0]
午	[𠂉十,wǔ,GB0]
卉	[十卄,huì,GB0]
半	[丷キ,bàn_pàn,GB0]
华	[亻匕十,huá_huà_huā,GB0]
协	[十力八,xié,GB0]
卑	[{卑上}十,bēi_bǐ_bì_pí_bān,GB0]
卒	[亠人人十,zú_cù_cuì,GB0]
卓	[卜早,zhuó_zhuō,GB0]
单	[丷日十,dān_chán_shàn,GB0]
卖	[十乛⺀大,mài,GB0]
南	[十冂䒑十,nán_nā,GB0]
博	[十甫寸,bó,GB0]
卜	[卜,bo_bǔ_pū,GB0]
卞	[亠卜,biàn_pán,GB0]
卟	[口卜,bǔ_jī,GB0]
占	[卜口,zhàn_zhān_tiē,GB0]
卡	[上卜,kǎ_qiǎ,GB0]
卢	[卜尸,lú,GB0]
卣	[卜囗コ,yǒu,GB0]
卤	[卜囗乂,lǔ_xī,GB0]
卦	[土土卜,guà,GB0]
卧	[臣卜,wò,GB0]
卩	[卩,jié,GB0]
