⺀	(⺀,Ye,,部首補充)
𧫔	(言非土,UyUfGt,,CJK-B)
𧫕	(言{祭上}示,UyWyDi,qiè,CJK-B)
𧫖	(言田糸,UyYtPs,,CJK-B)
𧫗	(言大乂乂,UyUdCiCi,chà,CJK-B)
𧫘	(言儿言儿,UyNeUyNe,,CJK-B)
𧫙	(言立日儿,UyAlJrNe,,CJK-B)
𧫚	(言卌一巾,UySaFiVj,,CJK-B)
𧫛	(言羊丶水,UyHvLdHs,yàng,CJK-B)
𧫜	(彐厶匚言,XjKsWfUy,jì,CJK-B)
𧫝	(言{囟框}乂夊,UyDxCiEu,shǎ,CJK-B)
𧫞	(言尸雨,UyYsXu,lòu,CJK-B)
𧫟	(言隹乚大,UyYzKnUd,,CJK-B)
𧫠	(言其土,UyTqGt,jī,CJK-B)
𧫡	(言穴至,UyWxUz,zhì,CJK-B)
𧫢	(言亡月王,UyWwWyJw,wàng,CJK-B)
𧫣	(木口夊言,FmOvEuUy,,CJK-B)
𧫤	(言日卄キ,UyJrScEk,bì,CJK-B)
𧫥	(言广大电,UyLaUdPd,ān,CJK-B)
𧫦	(匚矢殳言,WfAiDsUy,yī,CJK-B)
𧫧	(言人丶酉,UyReLdVo,ān_àn,CJK-B)
𧫨	(言广屮目,UyLaDcRm,,CJK-B)
𧫩	(言卄一入,UyScFiPr,,CJK-B)
𧫪	(言{虎头}{卬左}人,UyMhGmRe,,CJK-B)
𧫫	(言彐月殳,UyXjWyDs,,CJK-B)
𧫬	(ヰ八夊言,EkUaEuUy,lí,CJK-B)
𧫭	(言大大日,UyUdUdJr,,CJK-B)
𧫮	(言尸丿干,UyYsMpNg,,CJK-B)
𧫯	(丬匕广言,JqIbLaUy,,CJK-B)
𧫰	(言广一龰,UyLaFiNz,,CJK-B)
𧫱	(言立早,UyAlTo,,CJK-B)
𧫲	(言户〣〢,UyDvIvIv,,CJK-B)
𧫳	(言戊上小,UyMwKsVi,,CJK-B)
𧫴	(言艹口龶,UyScOvHq,,CJK-B)
𧫵	(言丷夫卄,UyQdKfSc,,CJK-B)
𧫶	(言山人冊,UyTsReIc,,CJK-B)
𧫷	(木口欠言,FmOvSqUy,,CJK-B)
𧫸	(言竹皮,UyAvEp,,CJK-B)
𧫹	(冖厂八マ,PiMcUaBo,xiān,CJK-B)
𧫺	(言二欠皿,UyYeSqXm,,CJK-B)
𧫻	(言木口辶,UyFmOvHc,,CJK-B)
𧫼	(言麻,UyBv,,CJK-B)
𧫽	(言广卄火,UyLaScTh,,CJK-B)
𧫾	(言{京頭}小尤,UyLgViKy,jiù,CJK-B)
𧫿	(言彐工寸,UyXjKgAc,tǎn,CJK-B)
𧬀	(言厶厶糸,UyKsKsPs,,CJK-B)
𧬁	(言自二十,UyRiYeQi,hào,CJK-B)
𧬂	(言力口貝,UyWlOvXb,hè,CJK-B)
𧬃	(言止止止,UyNzNzNz,,CJK-B)
𧬄	(言身矢,UyRsAi,,CJK-B)
𧬅	(言尸耂日,UyYsGtJr,zhā,CJK-B)
𧬆	(言羊䒑口,UyHvQdOv,zhǎn,CJK-B)
𧬇	(言士冖䒑,UyGiPiQd,yì,CJK-B)
𧬈	(言合习习,UyRhBiBi,xì,CJK-B)
𧬉	(日屮凵言,JrDcDkUy,,CJK-B)
𧬊	(其斤言,TqCjUy,xì_sí,CJK-B)
𧬋	(言癶弓殳,UyBoPgDs,fà,CJK-B)
𧬌	(言口口山,UyOvOvTs,yán,CJK-B)
𧬍	(言亠丷口,UyLtQdOv,,CJK-B)
𧬎	(言厂禾禾,UyMcVeVe,,CJK-B)
𧬏	(言艹犬卄,UyScLqSc,mǔ,CJK-B)
𧬐	(言而而,UyPePe,,CJK-B)
𧬑	(亻人人言,EeReReUy,,CJK-B)
𧬒	(言日罒勹,UyJrKwHb,,CJK-B)
𧬓	(大䒑十言,UdQdQiUy,,CJK-B)
𧬔	(言卄二木,UyScYeFm,,CJK-B)
𧬕	(言古辛,UyIuRx,gū,CJK-B)
𧬖	(言艹癶文,UyScBoRw,,CJK-B)
𧬗	(言其木,UyTqFm,,CJK-B)
𧬘	(言門日,UyCmJr,,CJK-B)
𧬙	(言宀一田,UyKbFiYt,,CJK-B)
𧬚	(言由方阝,UyAyNfBf,,CJK-B)
𧬛	(言冖口豕,UyPiOvBi,,CJK-B)
𧬜	(言其斤,UyTqCj,,CJK-B)
𧬝	(言艹癶夊,UyScBoEu,,CJK-B)
𧬞	(言雨二厶,UyXuYeKs,yún,CJK-B)
𧬟	(言止匕十,UyNzIbQi,,CJK-B)
𧬠	(言禾人水,UyVeReHs,,CJK-B)
𧬡	(言丿人一,UyMpReFi,,CJK-B)
𧬢	(言人人日,UyReReJr,,CJK-B)
𧬣	(立戈日言,AlMeJrUy,,CJK-B)
𧬤	(言立里,UyAlGl,zhòng,CJK-B)
𧬥	(言耂日阝,UyGtJrBf,,CJK-B)
𧬦	(言冖彐亅,UyPiXjVi,chǎn,CJK-B)
𧬧	(言艹癶大,UyScBoUd,chuáng,CJK-B)
𧬨	(言止戊小,UyNzMwVi,huì,CJK-B)
𧬩	(言一大一,UyFiUdFi,zá,CJK-B)
𧬪	(言冖車辶,UyPiNcHc,gùn,CJK-B)
𧬫	(言䒑月灬,UyQdWyTo,jiǎn,CJK-B)
𧬬	(言业羊八,UyLyHvUa,yá,CJK-B)
𧬭	(言一口丨,UyFiOvIv,,CJK-B)
𧬮	(言目目大,UyRmRmUd,,CJK-B)
𧬯	(言宀{冓上}巳,UyKbSaNi,,CJK-B)
𧬰	({纟上}丿丶言,NjMpLdUy,xiàng_xiǎng,CJK-B)
𧬱	(言門丁口,UyCmDdOv,hè,CJK-B)
𧬲	(言尸水凵,UyYsHsDk,,CJK-B)
𧬳	(言罒大十,UyKwUdQi,,CJK-B)
𧬴	(言囗𠂭月,UyXwCiWy,,CJK-B)
𧬵	(言穴亠十,UyWxLtQi,,CJK-B)
𧬶	(言乛彡彡,UyViHpHp,,CJK-B)
𧬷	(言{虎头}豕,UyMhBi,,CJK-B)
𧬸	(言丷夫言,UyQdKfUy,,CJK-B)
𧬹	(言冂龷䒑,UyPkScQd,,CJK-B)
𧬺	(言艹亠巾,UyScLtVj,,CJK-B)
𧬻	(言土羊辶,UyGtHvHc,,CJK-B)
𧬼	(言耳口王,UyMrOvJw,,CJK-B)
𧬽	(言几鳥,UyDjCn,,CJK-B)
𧬾	(幺言幺言,TaUyTaUy,,CJK-B)
𧬿	(言凵千人,UyDkYqRe,,CJK-B)
𧭀	(言竹口刂,UyAvOvGd,,CJK-B)
𧭁	(屮凵人言,DcDkReUy,,CJK-B)
𧭂	(言宀{祭上}示,UyKbWyDi,,CJK-B)
𧭃	(夫夫冖言,KfKfPiUy,dàn,CJK-B)
𧭄	(言巛臼木,UyJcHjFm,,CJK-B)
𧭅	(言臣月王,UyDeWyJw,,CJK-B)
𧭆	(言{龠頭}冊,UyRhIc,,CJK-B)
𧭇	(言白穴方,UyDaWxNf,mián,CJK-B)
𧭈	(言宀心丁,UyKbTiDd,níng_nìng,CJK-B)
𧭉	(言一八乂,UyFiUaCi,,CJK-B)
𧭊	(言艹冖豕,UyScPiBi,méng,CJK-B)
𧭋	(言尸辛辶,UyYsRxHc,,CJK-B)
𧭌	(言而大瓦,UyPeUdNw,liè,CJK-B)
𧭍	(言耳又二,UyMrBoYe,zhòu,CJK-B)
𧭎	(言亻业夫,UyEeLyKf,pū,CJK-B)
𧭏	(言士口至,UyGiOvUz,tāi,CJK-B)
𧭐	(匕矢マ言,IbAiBoUy,,CJK-B)
𧭑	(言目目瓜,UyRmRmBg,,CJK-B)
𧭒	(臼冂一言,HjPkFiUy,,CJK-B)
𧭓	(言火火火,UyThThTh,yíng,CJK-B)
𧭔	(舟习习言,QoBiBiUy,téng,CJK-B)
𧭕	(言爪丂巾,UyBzEkVj,guó,CJK-B)
𧭖	(言卝土戈,UyScGtMe,,CJK-B)
𧭗	(言臣{⺮右}皿,UyDeAvXm,,CJK-B)
𧭘	(言立立日,UyAlAlJr,,CJK-B)
𧭙	(言〢丷豕,UyIvQdBi,,CJK-B)
𧭚	(言言丷儿,UyUyQdNe,qiáng,CJK-B)
𧭛	(言言言,UyUyUy,,CJK-B)
𧭜	(言{虎头}田心,UyMhYtTi,lǜ,CJK-B)
𧭝	(言艹{祭上}示,UyScWyDi,sà,CJK-B)
𧭞	(言巛囗{鼠下},UyJcXwBs,liè,CJK-B)
𧭟	(言尸水辶,UyYsHsHc,chí,CJK-B)
𧭠	(言宀臼灬,UyKbHjTo,xiě,CJK-B)
𧭡	(言厂艹禺,UyMcScLu,,CJK-B)
𧭢	(言尚貝,UyJsXb,,CJK-B)
𧭣	(言爪寸虎,UyBzAcMh,guó,CJK-B)
𧭤	(言日龷水,UyJrScHs,bào_báo,CJK-B)
𧭥	(言白幺木,UyDaTaFm,luò,CJK-B)
𧭦	(言冖冂又,UyPiPkBo,juàn_xuān,CJK-B)
𧭧	(言广卄辶,UyLaScHc,,CJK-B)
𧭨	(亻人人言,EeReReUy,,CJK-B)
𧭩	(言卄一土,UyScFiGt,,CJK-B)
𧭪	(言艹一丨,UyScFiIv,è,CJK-B)
𧭫	(言亠口干,UyLtOvNg,,CJK-B)
𧭬	(言目目{介下},UyRmRmUa,,CJK-B)
𧭭	(一爿亻言,FiLcEeUy,,CJK-B)
𧭮	(言自穴方,UyRiWxNf,,CJK-B)
𧭯	(言亻人工,UyEeReKg,,CJK-B)
𧭰	(言广龷八,UyLaScUa,,CJK-B)
𧭱	(言西大辶,UySiUdHc,,CJK-B)
𧭲	(言工黑,UyKgQh,,CJK-B)
𧭳	(丁口丁言,DdOvDdUy,hé,CJK-B)
𧭴	(言罒土𧘇,UyKwGtSi,,CJK-B)
𧭵	(言鬼未,UyXgDw,mèi,CJK-B)
𧭶	(言戊一糸,UyMwFiPs,,CJK-B)
𧭷	(言魚日,UyByJr,,CJK-B)
𧭸	(言卜夕一,UyNvUxFi,xiè,CJK-B)
𧭹	(止小丆言,NzViUsUy,pín,CJK-B)
𧭺	(言{京頭}日干,UyLgJrNg,,CJK-B)
𧭻	(言戊一言,UyMwFiUy,hān,CJK-B)
𧭼	(言立木見,UyAlFmLj,chèn,CJK-B)
𧭽	(言艹止言,UyScNzUy,shàn,CJK-B)
𧭾	(言臼人貝,UyHjReXb,huì,CJK-B)
𧭿	(罒刀刀言,KwIaIaUy,,CJK-B)
𧮀	(罒人言言,KwReUyUy,,CJK-B)
𧮁	(言艹夕又,UyScUxBo,,CJK-B)
𧮂	(言⺧儿日,UyTnNeJr,,CJK-B)
𧮃	(言卄一火,UyScFiTh,,CJK-B)
𧮄	(言山隹{雋下},UyTsYzPk,,CJK-B)
𧮅	(言罒一辶,UyKwFiHc,,CJK-B)
𧮆	(言貝貝女,UyXbXbRn,yīng,CJK-B)
𧮇	(言艹禺辶,UyScLuHc,,CJK-B)
𧮈	(言宀{冓上}足,UyKbSaJz,jiǎn,CJK-B)
𧮉	(言艹亻丂,UyScEeEk,,CJK-B)
𧮊	(言鬼言,UyXgUy,,CJK-B)
𧮋	(言山隹丨,UyTsYzIv,,CJK-B)
𧮌	(言糹糹巳,UyPsPsNi,,CJK-B)
𧮍	(言門立日,UyCmAlJr,ān,CJK-B)
𧮎	(言宀{冓上}言,UyKbSaUy,,CJK-B)
𧮏	(言臼{囟框}厶,UyHjDxKs,,CJK-B)
𧮐	(阝爪工言,BfBzKgUy,,CJK-B)
𧮑	(言門日习,UyCmJrBi,tà,CJK-B)
𧮒	(言匚矢酉,UyWfAiVo,yī,CJK-B)
𧮓	(言鬼隹,UyXgYz,tuí,CJK-B)
𧮔	(言日屮米,UyJrDcTm,,CJK-B)
𧮕	(言門馬,UyCmHa,,CJK-B)
𧮖	(言⺧儿八,UyTnNeUa,,CJK-B)
𧮗	(言言言心,UyUyUyTi,liú,CJK-B)
𧮘	(言冖車車,UyPiNcNc,,CJK-B)
𧮙	(业䒑十言,LyQdQiUy,zuó,CJK-B)
𧮚	(言艹禺虫,UyScLuAo,,CJK-B)
𧮛	(言文凵隹,UyRwDkYz,lí,CJK-B)
𧮜	(言口口又,UyOvOvBo,,CJK-B)
𧮝	(氵止小言,IsNzViUy,pín,CJK-B)
𧮞	(言目目又,UyRmRmBo,xuè,CJK-B)
𧮟	(羊言言言,HvUyUyUy,,CJK-B)
𧮠	(言麻禾日,UyBvVeJr,nèn,CJK-B)
𧮡	(言穴士貝,UyWxGiXb,dòu,CJK-B)
𧮢	(言田田糸,UyYtYtPs,,CJK-B)
𧮣	(貝貝言言,XbXbUyUy,,CJK-B)
𧮤	(言臣{⺮右}見,UyDeAvLj,lǎn,CJK-B)
𧮥	(口口口言,OvOvOvUy,,CJK-B)
𧮦	(言言言言,UyUyUyUy,,CJK-B)
𧮧	(言艹門丷,UyScCmQd,,CJK-B)
𧮨	(言亠口𧘇,UyLtOvSi,,CJK-B)
𧮩	(立月{龍右}言,AlWyNvUy,,CJK-B)
𧮪	(讠卜口,DyNvOv,zhān,CJK-B)
𧮫	(人人口,ReReOv,jué,CJK-B)
𧮬	(八人口十,UaReOvQi,zhēn_jué,CJK-B)
𧮭	(八人口丶,UaReOvLd,jí,CJK-B)
𧮮	(八人口千,UaReOvYq,qiān,CJK-B)
𧮯	({左上}厶八口,SzKsUaOv,,CJK-B)
𧮰	(八人口乛,UaReOvVi,hān,CJK-B)
𧮱	(八人口刀,UaReOvIa,fén,CJK-B)
𧮲	(卜冖八口,NvPiUaOv,,CJK-B)
𧮳	(八人口二,UaReOvYe,hān,CJK-B)
𧮴	(八人口古,UaReOvIu,hóng,CJK-B)
𧮵	(八人口合,UaReOvRh,hé,CJK-B)
𧮶	(八人口口,UaReOvOv,hóu,CJK-B)
𧮷	(八人口屮,UaReOvDc,,CJK-B)
𧮸	({虎头}一八又,MhFiUaBo,,CJK-B)
𧮹	(八人口丂,UaReOvEk,,CJK-B)
𧮺	(八人口戈,UaReOvMe,zhàn,CJK-B)
𧮻	(八人口口,UaReOvOv,chóu_xiāo,CJK-B)
𧮼	(文凵冂口,RwDkPkOv,tài,CJK-B)
𧮽	(八人口虎,UaReOvMh,qiàn,CJK-B)
𧮾	(爪夫八口,BzKfUaOv,,CJK-B)
𧮿	(八人口舌,UaReOvSs,shè,CJK-B)
𧯀	(八人口大,UaReOvUd,yīng,CJK-B)
𧯁	(八人口矢,UaReOvAi,,CJK-B)
𧯂	(八人口矢,UaReOvAi,,CJK-B)
𧯃	(八人口口,UaReOvOv,qīn,CJK-B)
𧯄	(禾日儿口,VeJrNeOv,,CJK-B)
𧯅	(八人口日,UaReOvJr,,CJK-B)
𧯆	(八人口口,UaReOvOv,huò,CJK-B)
𧯇	(八人口电,UaReOvPd,,CJK-B)
𧯈	(八人口小,UaReOvVi,xì,CJK-B)
𧯉	(穴人口口,WxReOvOv,hè,CJK-B)
𧯊	(八人口小,UaReOvVi,xì,CJK-B)
𧯋	(八人口牙,UaReOvQy,xiā,CJK-B)
𧯌	(八人口十,UaReOvQi,hāo,CJK-B)
𧯍	(八人口力,UaReOvWl,lào,CJK-B)
𧯎	(八人口月,UaReOvWy,,CJK-B)
𧯏	(厂禾禾口,McVeVeOv,lì,CJK-B)
𧯐	(八人口勹,UaReOvHb,,CJK-B)
𧯑	(八人口日,UaReOvJr,,CJK-B)
𧯒	(八人口日,UaReOvJr,chēng,CJK-B)
𧯓	(八人口口,UaReOvOv,,CJK-B)
𧯔	(八人口乚,UaReOvKn,,CJK-B)
𧯕	(八人口目,UaReOvRm,,CJK-B)
𧯖	(八人口目,UaReOvRm,jùn,CJK-B)
𧯗	(八人口大,UaReOvUd,xī,CJK-B)
𧯘	(八人口夊,UaReOvEu,hǎn,CJK-B)
𧯙	(八人口人,UaReOvRe,,CJK-B)
𧯚	(八一口䒑,UaFiOvQd,,CJK-B)
𧯛	(屮一口䒑,DcFiOvQd,,CJK-B)
𧯜	(宀一口䒑,KbFiOvQd,,CJK-B)
𧯝	(一口䒑七,FiOvQdWi,,CJK-B)
𧯞	(一口䒑斤,FiOvQdCj,dòu_dōu,CJK-B)
𧯟	(夫一口䒑,KfFiOvQd,,CJK-B)
𧯠	(一口䒑口,FiOvQdOv,dōu,CJK-B)
𧯡	(夕㔾一䒑,UxViFiQd,wān_yuè,CJK-B)
𧯢	(乛水一䒑,ViHsFiQd,,CJK-B)
𧯣	(土八一䒑,GtUaFiQd,,CJK-B)
𧯤	(一口䒑{乍下},FiOvQdNv,dōu,CJK-B)
𧯥	(十戈一䒑,QiMeFiQd,zài,CJK-B)
𧯦	(丷夫一䒑,QdKfFiQd,juàn,CJK-B)
𧯧	(土{反彐}一䒑,GtXjFiQd,,CJK-B)
𧯨	(一口䒑夕,FiOvQdUx,lǒu,CJK-B)
𧯩	(一口䒑足,FiOvQdJz,chù,CJK-B)
𧯪	(一口䒑丿,FiOvQdMp,,CJK-B)
𧯫	(癶一口丁,BoFiOvDd,zhēng,CJK-B)
𧯬	(一口䒑工,FiOvQdKg,,CJK-B)
𧯭	(月一口卄,WyFiOvSc,,CJK-B)
𧯮	(丰丰一䒑,LfLfFiQd,,CJK-B)
𧯯	(一口䒑其,FiOvQdTq,qí,CJK-B)
𧯰	(一口䒑臼,FiOvQdHj,kàn,CJK-B)
𧯱	(一口䒑一,FiOvQdFi,huò_yù,CJK-B)
𧯲	(一口䒑來,FiOvQdCl,lái,CJK-B)
𧯳	(宀夕㔾䒑,KbUxViQd,,CJK-B)
𧯴	(木木一䒑,FmFmFiQd,,CJK-B)
𧯵	(一口䒑キ,FiOvQdEk,,CJK-B)
𧯶	(山一口口,TsFiOvOv,,CJK-B)
𧯷	(艹乛水䒑,ScViHsQd,,CJK-B)
𧯸	({穀頭}一口䒑,GiFiOvQd,,CJK-B)
𧯹	(立日一䒑,AlJrFiQd,,CJK-B)
𧯺	(亠八乂䒑,LtUaCiQd,gāi,CJK-B)
𧯻	(壴不口,PzObOv,,CJK-B)
𧯼	(壴⺆土口,PzHbGtOv,shòu,CJK-B)
𧯽	(凵丰丰䒑,DkLfLfQd,,CJK-B)
𧯾	(壴木日,PzFmJr,dōng,CJK-B)
𧯿	(壴{卑上}十,PzXgQi,,CJK-B)
𧰀	(壴山又口,PzTsBoOv,,CJK-B)
𧰁	(一口䒑土,FiOvQdGt,,CJK-B)
𧰂	(一口䒑习,FiOvQdBi,,CJK-B)
𧰃	(一口䒑女,FiOvQdRn,lóu,CJK-B)
𧰄	({京頭}子山䒑,LgKzTsQd,tuān,CJK-B)
𧰅	(冂龷一夫,PkScFiKf,,CJK-B)
𧰆	(一口䒑キ,FiOvQdEk,,CJK-B)
𧰇	(壴臼人,PzHjRe,yú,CJK-B)
𧰈	(予丿夊䒑,MuMpEuQd,wù,CJK-B)
𧰉	(一口䒑小,FiOvQdVi,,CJK-B)
𧰊	(壴十且八,PzQiHqUa,tián,CJK-B)
𧰋	(壴䒑彐八,PzQdXjUa,,CJK-B)
𧰌	(丿米夕䒑,MpTmUxQd,,CJK-B)
𧰍	(乚丨丨又,KnIvIvBo,,CJK-B)
𧰎	(一口䒑力,FiOvQdWl,,CJK-B)
𧰏	(一口䒑口,FiOvQdOv,,CJK-B)
𧰐	(一口䒑䒑,FiOvQdQd,,CJK-B)
𧰑	(口丂虎䒑,OvEkMhQd,,CJK-B)
𧰒	(壴囗戈一,PzXwMeFi,guó,CJK-B)
𧰓	(而瓦壴,PeNwPz,,CJK-B)
𧰔	(木木癶䒑,FmFmBoQd,,CJK-B)
𧰕	(壴二欠皿,PzYeSqXm,,CJK-B)
𧰖	(亠厶{荒下}䒑,LtKsNeQd,,CJK-B)
𧰗	(一口䒑丁,FiOvQdDd,,CJK-B)
𧰘	(壴西早,PzSiTo,tán,CJK-B)
𧰙	(山一口人,TsFiOvRe,qí,CJK-B)
𧰚	(冂龷一皿,PkScFiXm,,CJK-B)
𧰛	(而方瓦䒑,PeNfNwQd,,CJK-B)
𧰜	({虎头}一口里,MhFiOvGl,,CJK-B)
𧰝	(士冖一皿,GiPiFiXm,,CJK-B)
𧰞	(冂龷一皿,PkScFiXm,,CJK-B)
𧰟	(冂龷一皿,PkScFiXm,,CJK-B)
𧰠	(壴巛囗{鼠下},PzJcXwBs,liè,CJK-B)
𧰡	(壴厂禾止,PzMcVeNz,lì,CJK-B)
𧰢	(冂龷一ヰ,PkScFiEk,,CJK-B)
𧰣	(壴艹千黑,PzScYqQh,xūn,CJK-B)
𧰤	(一口䒑又,FiOvQdBo,,CJK-B)
𧰥	(𠂤止彐䒑,XdNzXjQd,,CJK-B)
𧰦	(乙豕,ViBi,,CJK-B)
𧰧	(丆亅丿二,UsViMpYe,,CJK-B)
𧰨	(豕,Bi,gèng,CJK-B)
𧰩	(豕丁,BiDd,tīng,CJK-B)
𧰪	(干豕,NgBi,hàn,CJK-B)
𧰫	(豕冖丶,BiPiLd,chù,CJK-B)
𧰬	(一䒑豕,FiQdBi,,CJK-B)
𧰭	(豕丿七,BiMpWi,tún,CJK-B)
𧰮	(日豕,JrBi,,CJK-B)
𧰯	(豕{左上}厶,BiSzKs,xióng,CJK-B)
𧰰	(豕尤,BiKy,yóu,CJK-B)
𧰱	(豕刀又,BiIaBo,mò,CJK-B)
𧰲	(彑豕,WuBi,chǐ,CJK-B)
𧰳	(一乛厂豕,FiViMcBi,,CJK-B)
𧰴	(豕勹厶,BiHbKs,hǔ,CJK-B)
𧰵	(豕丶殳,BiLdDs,dū_dú_zhuó,CJK-B)
𧰶	(豕{雋下},BiPk,,CJK-B)
𧰷	(豕母,BiWu,mǔ,CJK-B)
𧰸	(豕皮,BiEp,,CJK-B)
𧰹	(豕屮凵,BiDcDk,nà,CJK-B)
𧰺	(彑冖豕,WuPiBi,,CJK-B)
𧰻	(豕人丶マ,BiReLdBo,líng,CJK-B)
𧰼	(冖冂人豕,PiPkReBi,,CJK-B)
𧰽	({雋下}一豕,PkFiBi,,CJK-B)
𧰾	(丆亅{两撇}マ,UsViHpBo,,CJK-B)
𧰿	(豕艹乂,BiScCi,ài,CJK-B)
𧱀	(豕⺧儿,BiTnNe,xiān,CJK-B)
𧱁	(豕冂一口,BiPkFiOv,,CJK-B)
𧱂	(豕一日一,BiFiJrFi,,CJK-B)
𧱃	({雋下}一豕,PkFiBi,,CJK-B)
𧱄	(口口豕,OvOvBi,kǎn,CJK-B)
𧱅	(豕大弓,BiUdPg,sì,CJK-B)
𧱆	(豕冊一,BiIcFi,sān,CJK-B)
𧱇	(豕彐キ,BiXjEk,,CJK-B)
𧱈	(彑八豕,WuUaBi,,CJK-B)
𧱉	(豕{左上}火,BiSzTh,,CJK-B)
𧱊	(豕{雋下}又,BiPkBo,yì,CJK-B)
𧱋	(丿田豕,MpYtBi,,CJK-B)
𧱌	(爪冖豕,BzPiBi,,CJK-B)
𧱍	(豕宀木,BiKbFm,,CJK-B)
𧱎	(豕尸毛,BiYsHm,,CJK-B)
𧱏	(辛豕,RxBi,yì,CJK-B)
𧱐	(豕耂子,BiGtKz,xiào_xiāo,CJK-B)
𧱑	(豕且力,BiHqWl,,CJK-B)
𧱒	(豕⺁一巴,BiCjFiNb,zhī_zhuō,CJK-B)
𧱓	(豕尤彡,BiKyHp,dòu,CJK-B)
𧱔	(月豕巾,WyBiVj,,CJK-B)
𧱕	(豕彳殳,BiXiDs,,CJK-B)
𧱖	(豕一冂一,BiFiPkFi,,CJK-B)
𧱗	(豕目匕,BiRmIb,,CJK-B)
𧱘	(立豕人{介下},AlBiReUa,mài,CJK-B)
𧱙	(豕立女,BiAlRn,,CJK-B)
𧱚	(豕户月,BiDvWy,,CJK-B)
𧱛	(豕耳又,BiMrBo,,CJK-B)
𧱜	(豕人一冊,BiReFiIc,lún,CJK-B)
𧱝	(又又又豕,BoBoBoBi,jué_jùn,CJK-B)
𧱞	(阝{左上}工豕,BfSzKgBi,,CJK-B)
𧱟	(豕日匕匕,BiJrIbIb,,CJK-B)
𧱠	(豕{龍右},BiNv,,CJK-B)
𧱡	(豕穴工,BiWxKg,qiāng,CJK-B)
𧱢	(豕尸人マ,BiYsReBo,líng,CJK-B)
𧱣	(豕{雋下}一又,BiPkFiBo,,CJK-B)
𧱤	({互中}豕人丨,WuBiReIv,,CJK-B)
𧱥	(豕巛田,BiJcYt,,CJK-B)
𧱦	(豕丶尤彡,BiLdKyHp,,CJK-B)
𧱧	(豕丶尸毛,BiLdYsHm,,CJK-B)
𧱨	(豕田{畏下},BiYtHw,,CJK-B)
𧱩	(豕亻一乂,BiEeFiCi,pián,CJK-B)
𧱪	(豕𡗗一大,BiWpFiUd,còu,CJK-B)
𧱫	(豕{左上}工月,BiSzKgWy,duò,CJK-B)
𧱬	(豕人一刂,BiReFiGd,yǔ,CJK-B)
𧱭	(豕乂凵夊,BiCiDkEu,,CJK-B)
𧱮	(豕月小又,BiWyViBo,,CJK-B)
𧱯	(豕月巾又,BiWyVjBo,,CJK-B)
𧱰	(豕予丿又,BiMuMpBo,zhuō,CJK-B)
𧱱	(豕立丿彡,BiAlMpHp,,CJK-B)
𧱲	(豕气米,BiMqTm,xì,CJK-B)
𧱳	(立豕舌,AlBiSs,huài,CJK-B)
𧱴	(豕冖日八,BiPiJrUa,míng,CJK-B)
𧱵	(豕广肀口,BiLaXjOv,táng,CJK-B)
𧱶	(弓豕豕,PgBiBi,,CJK-B)
𧱷	(豕彳䒑龰,BiXiQdNz,,CJK-B)
𧱸	(豕丿{眉上}目,BiMpYsRm,,CJK-B)
𧱹	(豕甫寸,BiSfAc,pū,CJK-B)
𧱺	(豕亻大口,BiEeUdOv,,CJK-B)
𧱻	(豕爪見,BiBzLj,mì,CJK-B)
𧱼	(豕卄一入,BiScFiPr,mán,CJK-B)
𧱽	(豕辰月,BiBcWy,,CJK-B)
𧱾	(豕豕犬,BiBiLq,guāi,CJK-B)
𧱿	(豕广肀月,BiLaXjWy,,CJK-B)
𧲀	(豕亠幺牛,BiLtTaTn,qiān,CJK-B)
𧲁	(彑八豕巾,WuUaBiVj,,CJK-B)
𧲂	(豕米夕ヰ,BiTmUxEk,lín,CJK-B)
𧲃	(豕門文,BiCmRw,mǐn,CJK-B)
𧲄	(豕爪{爲下},BiBzJw,wěi,CJK-B)
𧲅	(豕丷日日,BiQdJrJr,céng,CJK-B)
𧲆	(豕口丄貝,BiOvKsXb,,CJK-B)
𧲇	({穀頭}一口豕,GiFiOvBi,hù,CJK-B)
𧲈	(豕{左上}工辶,BiSzKgHc,suí,CJK-B)
𧲉	(豕尸口辛,BiYsOvRx,,CJK-B)
𧲊	({鹿上}丂灬豕,KlEkToBi,,CJK-B)
𧲋	(豕{虎头}豕,BiMhBi,jù,CJK-B)
𧲌	(豕竹一龰,BiAvFiNz,shà,CJK-B)
𧲍	(豕艹罒夕,BiScKwUx,méng,CJK-B)
𧲎	(艹罒冖豕,ScKwPiBi,,CJK-B)
𧲏	(豕豕豕,BiBiBi,,CJK-B)
𧲐	(豕日龷水,BiJrScHs,,CJK-B)
𧲑	(豕山隹{雋下},BiTsYzPk,,CJK-B)
𧲒	(豕艹一〢,BiScFiIv,,CJK-B)
𧲓	(豕彳人龰,BiXiReNz,,CJK-B)
𧲔	(彳{五下}口豕,XiQwOvBi,,CJK-B)
𧲕	(豕母口女,BiWuOvRn,,CJK-B)
𧲖	(豕立月{龍右},BiAlWyNv,,CJK-B)
𧲗	(豕竹{左上}月,BiAvSzWy,wéi,CJK-B)
𧲘	(豕{虎头}一戈,BiMhFiMe,xī,CJK-B)
𧲙	(豕雨口口,BiXuOvOv,lìng,CJK-B)
𧲚	(豕山隹口,BiTsYzOv,,CJK-B)
𧲛	(艹{鹿上}丂豕,ScKlEkBi,,CJK-B)
𧲜	(尸口辛豕,YsOvRxBi,bì,CJK-B)
