⺀	(⺀,Ye,,部首補充)
⾼	(高,Lg,,康熙部首)
⾽	(髟,Wb,,康熙部首)
⾾	(鬥,Do,,康熙部首)
⾿	(𠂭凵匕,CiDkIb,,康熙部首)
⿀	(一口冂丨,FiOvPkIv,,康熙部首)
⿁	(鬼,Xg,,康熙部首)
⿂	(魚,By,,康熙部首)
⿃	(鳥,Cn,,康熙部首)
⿄	(鹵,Gl,,康熙部首)
⿅	(鹿,Kl,,康熙部首)
⿆	(來夊,ClEu,,康熙部首)
⿇	(麻,Bv,,康熙部首)
⿈	(艹二由八,ScYeAyUa,,康熙部首)
⿉	(禾人水,VeReHs,,康熙部首)
⿊	(黑,Qh,,康熙部首)
⿋	(业丷巾八,LyQdVjUa,,康熙部首)
⿌	(黽,Sm,,康熙部首)
⿍	(目爿片,RmLcLp,,康熙部首)
⿎	(壴十又,PzQiBo,,康熙部首)
⿏	(臼{鼠下},HjBs,,康熙部首)
⿐	(自田丌,RiYtYj,,康熙部首)
⿑	(亠丷丨二,LtQdIvYe,,康熙部首)
⿒	(齒,Wc,,康熙部首)
⿓	(立月{龍右},AlWyNv,,康熙部首)
⿔	(冖{龜下},PiSm,,康熙部首)
⿕	({龠頭}冊,RhIc,,康熙部首)
々	(冖丶,PiLd,,符號標點)
〇	(〇,Ov,líng_yuán_xīng,符號標點)
〢	(〢,Iv,,符號標點)
〣	(〣,Iv,,符號標點)
キ	(キ,Ek,,片假名)
コ	(コ,Bo,,片假名)
ス	(ス,Bo,,片假名)
ッ	(⺍,Is,,片假名)
マ	(マ,Bo,,片假名)
ュ	(コ,Bo,,片假名)
ユ	(コ,Bo,,片假名)
リ	(リ,Qd,,片假名)
ヰ	(ヰ,Ek,,片假名)
㇀	(一,Fi,,筆畫)
㇁	(丿,Mp,,筆畫)
㇂	(乚,Kn,,筆畫)
㇃	(丶,Ld,,筆畫)
㇄	(乚,Kn,,筆畫)
㇅	(乛,Vi,,筆畫)
㇆	(乛,Vi,,筆畫)
㇇	(乛,Vi,,筆畫)
㇈	(乛,Vi,,筆畫)
㇉	(㇉,Kn,,筆畫)
㇊	(乁,Vi,,筆畫)
㇋	(𠄎,Vi,,筆畫)
㇌	(𠄎,Vi,,筆畫)
㇍	(乛,Vi,,筆畫)
㇎	(𠄎,Vi,,筆畫)
㇏	(乀,Ld,,筆畫)
㇐	(一,Fi,,筆畫)
㇑	(丨,Iv,,筆畫)
㇒	(丿,Mp,,筆畫)
㇓	(丿,Mp,,筆畫)
㇔	(丶,Ld,,筆畫)
㇕	(乛,Vi,,筆畫)
㇖	(乛,Vi,,筆畫)
㇗	(乚,Kn,,筆畫)
㇘	(亅,Vi,,筆畫)
㇙	(乚,Kn,,筆畫)
㇚	(亅,Vi,,筆畫)
㇛	(𡿨,Kn,,筆畫)
㇜	(乚,Kn,,筆畫)
㇝	(乀,Ld,,筆畫)
㇞	(乚,Kn,,筆畫)
㇟	(乚,Kn,,筆畫)
㇠	(乙,Vi,,筆畫)
㇡	(𠄎,Vi,,筆畫)
㇢	(亅,Vi,,筆畫)
㇣	(〇,Ov,,筆畫)
㈱	(木牛八,FmTnUa,,圈字月份)
㊑	(木牛八,FmTnUa,,圈字月份)
㐀	(卝一,ScFi,qiū,CJK-A)
㐁	(一囗人,FiXwRe,tiàn,CJK-A)
㐂	(七七七,WiWiWi,,CJK-A)
㐃	(人丅,ReJx,,CJK-A)
㐄	(ヰ,Ek,kuà,CJK-A)
㐅	(乂,Ci,wǔ,CJK-A)
㐆	(⺁彐乛,CjXjVi,yǐn,CJK-A)
㐇	(九乙,TjVi,,CJK-A)
㐈	(入乙,PrVi,,CJK-A)
㐉	(丁乙,DdVi,,CJK-A)
㐊	(士乙,GiVi,,CJK-A)
㐋	(土乙,GtVi,,CJK-A)
㐌	(𠂉也,AvJe,yí,CJK-A)
㐍	(爪乙,BzVi,,CJK-A)
㐎	(文乙,RwVi,,CJK-A)
㐏	(一{五下}乙,FiQwVi,,CJK-A)
㐐	(女又乙,RnBoVi,,CJK-A)
㐑	(夊⺀乙,EuYeVi,,CJK-A)
㐒	(刀口乙,IaOvVi,,CJK-A)
㐓	(丁口乙,DdOvVi,,CJK-A)
㐔	({京頭}乙,LgVi,,CJK-A)
㐕	(由乙,AyVi,,CJK-A)
㐖	(士口乚,GiOvKn,xié,CJK-A)
㐗	(耂匕乙,GtIbVi,,CJK-A)
㐘	(米乙,TmVi,,CJK-A)
㐙	(一口䒑乙,FiOvQdVi,,CJK-A)
㐚	(一{五下}口乙,FiQwOvVi,,CJK-A)
㐛	(亻{左上}口乙,EeSzOvVi,,CJK-A)
㐜	(一水丶九,FiHsLdTj,chóu,CJK-A)
㐝	(扌勹口乙,CoHbOvVi,,CJK-A)
㐞	(其乙,TqVi,,CJK-A)
㐟	(非乙,UfVi,,CJK-A)
㐠	(爪子乚乙,BzKzKnVi,,CJK-A)
㐡	(九而大,TjPeUd,nuò,CJK-A)
㐢	(氵爪子乙,IsBzKzVi,,CJK-A)
㐣	(广車乙,LaNcVi,,CJK-A)
㐤	(九十且八,TjQiHqUa,dān_qiú,CJK-A)
㐥	(金且力乙,KjHqWlVi,,CJK-A)
㐦	(臼丂丄乙,HjEkKsVi,,CJK-A)
㐧	(丶乛亅丿,LdViViMp,,CJK-A)
㐨	(予予,MuMu,xù,CJK-A)
㐩	(二{介下}二{介下},YeUaYeUa,xíng,CJK-A)
㐪	(亠凵人,LtDkRe,,CJK-A)
㐫	(文凵,RwDk,xiōng,CJK-A)
㐬	(亠厶{荒下},LtKsNe,liú,CJK-A)
㐭	(亠囗口,LtXwOv,lǐn,CJK-A)
㐮	(亠八{冓上}𧘇,LtUaSaSi,xiāng,CJK-A)
㐯	(亠口口日,LtOvOvJr,yōng,CJK-A)
㐰	(亻口,EeOv,xìn,CJK-A)
㐱	(人彡,ReHp,zhěn,CJK-A)
㐲	(亻大,EeUd,dài,CJK-A)
㐳	(亻兀,EePw,wù,CJK-A)
㐴	(亻夕,EeUx,pān,CJK-A)
㐵	(亻一{于下},EeFiAc,rú,CJK-A)
㐶	(亻巳,EeNi,,CJK-A)
㐷	(亻马,EeGm,mǎ,CJK-A)
㐸	(亻欠,EeSq,qiàn_cì,CJK-A)
㐹	(亻气,EeMq,yì,CJK-A)
㐺	(亻亻人,EeEeRe,yín_zhòng,CJK-A)
㐻	(亻冂人,EePkRe,nèi,CJK-A)
㐼	(亻丿卄,EeMpSc,chèng,CJK-A)
㐽	(亻几乂,EeDjCi,fēng,CJK-A)
㐾	(亻一兀,EeFiPw,,CJK-A)
㐿	(亻手,EeOs,,CJK-A)
㑀	(亻大丶,EeUdLd,,CJK-A)
㑁	(亻屮凵,EeDcDk,zhuō,CJK-A)
㑂	(亻一冂人,EeFiPkRe,fǎng,CJK-A)
